tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt19761454,movie,Ember's Edge,0,2025,87,Thriller,3.9,28,nm10123400
tt15015890,movie,Inside Helix,0,2020,,Reality-TV,6.8,16,nm12055587
tt13468068,movie,Livet av Havnes,0,2020,44,Documentary,8.3,9,nm3016332
tt2222728,movie,Just Ate,0,2012,96,"Comedy,Drama,Romance",7.1,19,"nm2959244,nm5072992"
tt0288257,movie,Time's Up!,0,2001,94,Drama,6.6,46,nm0057441
tt4377942,movie,Arcadia,0,2016,90,"Action,Sci-Fi,Thriller",4.2,344,nm2995040
tt0369560,movie,Hårde drenge danser ikke,0,2001,54,"Biography,Documentary",5.5,11,nm0391496
tt7573844,movie,Into the Okavango,0,2018,88,Documentary,7.6,621,nm3541311
tt2978048,movie,The Twisted Death of a Lonely Madman,0,2016,82,"Drama,Horror,Thriller",5.9,37,nm4298051
tt2207392,movie,Sorry Ain't Enough,0,2006,120,Drama,7,10,nm5109269
tt0826711,movie,Flight of the Red Balloon,0,2007,115,"Drama,Family",6.5,4243,nm0396284
tt6332158,movie,You're Not Alone,0,2020,92,"Horror,Mystery,Thriller",3.8,719,nm1161979
tt28138511,movie,"Texas, USA",0,2023,91,Documentary,8.3,8,nm5255464
tt1720035,movie,59 Seconds,0,2016,95,"Action,Drama,Thriller",5.4,1389,nm4061029
tt5127200,movie,"Socotra, the Land of Djinns",0,2016,65,Documentary,7.2,27,nm1227469
tt6708928,movie,"Where Is Tomorrow, Shuji Terayama",0,2017,100,Documentary,6.5,6,nm7710018
tt1129412,movie,Circle,0,2010,87,"Horror,Thriller",3.3,772,nm0914368
tt1613023,movie,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",0,2011,97,"Documentary,Music",7.6,4123,nm0001650
tt4721404,movie,The Good Catholic,0,2017,98,"Comedy,Drama",5.3,987,nm2749225
tt0397681,movie,Three Tales,0,2002,,Music,7.2,45,nm1543884
tt11389562,movie,The Mountains Are a Dream That Call to Me,0,2020,95,,7,63,nm4560461
tt2262023,movie,Rockin' Reverend,0,2013,114,Comedy,6,21,nm4740025
tt2402982,movie,Bull Runners of Pamplona,0,2011,56,Documentary,6.9,44,nm0694023
tt0391774,movie,Autobahnraser,0,2004,87,"Action,Comedy,Drama",4.7,2064,nm0450661
tt1226236,movie,I Am Love,0,2009,120,"Drama,Romance",7,24897,nm0345174
tt35262732,movie,John Wayne: Gold Strike River (In Color),0,2007,54,Western,6.2,6,nm0102908
tt1288502,movie,Hangtime,0,2009,92,Drama,6.1,180,nm0343185
tt24132650,movie,Thi Baan the Series,0,2017,126,"Comedy,Romance",7,57,nm11533307
tt0435277,movie,People Are Dead,0,2002,88,Drama,4.6,204,nm0285738
tt13288724,movie,Vipco's Vault of Terror: Volume One,0,2022,,Horror,4.1,10,nm4158321
tt5443372,movie,Psychomanteum,0,2018,86,Horror,4.1,228,nm0002916
tt0829198,movie,The Woven Stories of the Other,0,2006,105,"Drama,Musical",7.6,40,nm2012300
tt5687040,movie,Ismael's Ghosts,0,2017,114,"Drama,Mystery,Romance",5.5,2925,nm0221611
tt0970833,movie,Queer FT 3,1,2007,54,Adult,6.2,35,"nm1768165,nm2562675,nm1498852,nm2565150,nm1767297,nm2462251,nm1493728"
tt0457278,movie,"Anytown, USA",0,2005,93,Documentary,7.3,211,nm0289553
tt5774888,movie,Truckbhar Swapna,0,2018,128,Drama,6.1,21,nm8207191
tt35814657,movie,See You Soon,0,2025,,Romance,8.4,23,nm3882288
tt8287198,movie,The British & Irish Lions: Uncovered,0,2017,240,Sport,7.4,33,nm1111151
tt0366835,movie,Eight Candles,0,2002,70,Documentary,7.4,28,nm1350548
tt1331116,movie,Porno Unplugged,1,2008,105,"Adult,Documentary",5.9,34,nm3219449
tt2230440,movie,Aiven Raula Pai Gaya,0,2012,153,"Comedy,Drama,Musical",5.2,119,nm5123627
tt0457355,movie,From Mexico with Love,0,2009,96,"Action,Drama,Family",5.2,596,nm0630022
tt35319705,movie,Momentum: The story of Bernt Marius Rorstad,0,2024,71,Documentary,7.3,9,nm9061635
tt2088679,movie,Amy Goes to College,0,2011,79,"Drama,Horror,Thriller",6.6,9,nm3676636
tt4168808,movie,Interstelar,0,2014,48,"Comedy,Horror,Sci-Fi",6.8,427,"nm5954636,nm6572949"
tt0469843,movie,Sótano,0,2005,72,Thriller,7.2,6,nm1768249
tt1740725,movie,Bigfoot: The Lost Coast Tapes,0,2012,90,"Horror,Mystery,Thriller",4.5,3084,nm2092442
tt3407422,movie,Lucky,0,2012,132,Comedy,6.4,19,nm5657210
tt2396589,movie,Mudbound,0,2017,134,"Drama,War",7.4,55965,nm2011696
tt35939797,movie,The End of the Internet,0,2025,,Documentary,5.4,6,nm3672877
tt15223174,movie,Never Coming Back,0,2021,63,Documentary,5.4,8,nm1994865
tt0915457,movie,"Falco - Verdammt, wir leben noch!",0,2008,109,"Biography,Drama,Music",6.8,1544,nm0745037
tt1466062,movie,Paradise,0,2009,82,Documentary,6.7,28,nm0021899
tt3119172,movie,Bakita Byaktigato,0,2013,145,Drama,7.9,562,nm5199337
